Longitude,Lattitude,Pixel,Scan
43.6966182,-74.3603373,500,600
43.693716,-74.3602725,600,600
43.6908135,-74.3602076,700,600
43.6879107,-74.3601426,800,600
43.6850077,-74.3600777,900,600
43.6821045,-74.3600126,1000,600
43.679201,-74.3599476,1100,600
43.6762972,-74.3598825,1200,600
43.6733932,-74.3598173,1300,600
43.670489,-74.3597521,1400,600
43.6675846,-74.3596869,1500,600
43.6646798,-74.3596216,1600,600
43.6617749,-74.3595563,1700,600
43.6588697,-74.3594909,1800,600
43.6559642,-74.3594255,1900,600
43.6530585,-74.35936,2000,600
43.6501526,-74.3592945,2100,600
43.6472464,-74.359229,2200,600
43.64434,-74.3591634,2300,600
43.6414333,-74.3590977,2400,600
43.6385264,-74.3590321,2500,600
43.6356192,-74.3589663,2600,600
43.6327118,-74.3589006,2700,600
43.6298042,-74.3588347,2800,600
43.6268963,-74.3587689,2900,600
43.6239881,-74.358703,3000,600
43.6210797,-74.358637,3100,600
43.6181711,-74.358571,3200,600
43.6152622,-74.358505,3300,600
43.6123531,-74.3584389,3400,600
43.6094437,-74.3583728,3500,600
43.6065341,-74.3583066,3600,600
43.6036242,-74.3582404,3700,600
43.6007141,-74.3581741,3800,600
43.5978037,-74.3581078,3900,600
43.5948931,-74.3580415,4000,600
43.5919823,-74.3579751,4100,600
43.5890712,-74.3579087,4200,600
43.5861599,-74.3578422,4300,600
43.5832483,-74.3577756,4400,600
43.5803364,-74.3577091,4500,600
43.5774244,-74.3576425,4600,600
43.574512,-74.3575758,4700,600
43.5715995,-74.3575091,4800,600
43.5686866,-74.3574423,4900,600
43.5657736,-74.3573755,5000,600
43.5628603,-74.3573087,5100,600
43.5599467,-74.3572418,5200,600
43.5570329,-74.3571749,5300,600
43.5541188,-74.3571079,5400,600
43.5512045,-74.3570409,5500,600
43.54829,-74.3569738,5600,600
43.5453752,-74.3569067,5700,600
